id,StartUp,Country,Year,Raised,ESG,E,S,G,Cluster
1212,Ankr,United States,0,18700000.0,0.0,0.0,0.0,0.0,"(0, 2)"
1213,Atomic Network,Ireland,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1214,Atonomi,United States,0,25000000.0,0.008,0.0,0.006,0.002,"(0, 2)"
1215,Bettingwin,India,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1216,Bgogo,United States,0,3770000.0,0.0,0.0,0.0,0.0,"(2, 1)"
1217,BitEther,United States,2018,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1218,Blackwave,Malta,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1219,Block Collider,United States,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1220,Brickex,Netherlands,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1221,CADS,United Kingdom,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1223,connect social,Australia,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1224,DFS,Spain,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1225,DNeT,Spain,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1226,DPRG,United Kingdom,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1227,Easyfast,Russian Federation,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1228,Estate Coin,Russian Federation,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1229,Experimental,Argentina,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1230,FriendsFingers,Italy,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1231,Hero Node,China,0,21770000.0,0.0,0.0,0.0,0.0,"(0, 2)"
1232,Host.Games,Malta,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1233,J-Link,Belarus,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
1234,Keep,Belarus,0,0.0,0.0,0.0,0.0,0.0,"(4, 4)"
